品項,本週平均批發價(元/公斤)
推薦No: 1                                    茭白筍-帶殼,59.2
推薦No: 2                                    莧菜-白莧菜,17.6
推薦No: 3                                    蕹菜-水蕹菜                                            (空心菜),29.7
推薦No: 4                                    蕹菜-小葉                                            (空心菜),17.5
推薦No: 5                                    莧菜-紅莧菜,19.3
推薦No: 6                                    芽菜類-綠豆芽,8.3
推薦No: 7                                    蓮藕,24
推薦No: 8                                    蘆筍-白蘆筍,43.9
推薦No: 9                                    芽菜類-黃豆芽,15.9
推薦No: 10                                    蕹菜-大葉                                            (空心菜),9.5
推薦No: 11                                    茭白筍-去殼,88.9
推薦No: 12                                    海菜-水蓮,79.7
推薦No: 13                                    芹菜-白梗,81.1
推薦No: 14                                    菱角-熟菱角,30
推薦No: 15                                    百合,60
推薦No: 16                                    芽菜類-苜蓿芽,41.9
推薦No: 17                                    芽菜類-豌豆芽,40.6
推薦No: 18                                    芹菜-青梗,26
推薦No: 19                                    莧菜-水耕,27
推薦No: 20                                    蘆筍-蘆筍花,103.6
推薦No: 21                                    蘆筍-綠蘆筍,148.8
推薦No: 22                                    芹菜-西洋芹菜,13.6
推薦No: 23                                    西洋菜,18
推薦No: 24                                    海菜-龍鬚菜,32.3
推薦No: 25                                    菱角-去殼,59.9
推薦No: 26                                    菱角-生菱角,52.5
推薦No: 27                                    芹菜-山芹菜,72
推薦No: 28                                    芹菜-芹菜管,9
推薦No: 29                                    蓮藕-蓮子,224.6
推薦No: 30                                    蕹菜-水耕                                            (空心菜),31.1
推薦No: 31                                    芹菜-水耕,69.6
推薦No: 32                                    海菜-海帶,24
